GEOFIPS,spanish,other_indo_european,asian_and_pacific_island,other
42101000100,132,229,93,11
42101000200,75,67,1145,0
42101000300,141,265,265,71
42101000401,101,243,421,34
42101000402,26,247,103,0
42101000500,277,110,169,14
42101000600,90,79,46,80
42101000700,108,437,253,0
42101000801,76,71,92,0
42101000803,59,221,87,24
42101000804,70,219,231,24
42101000901,43,164,170,17
42101000902,55,211,418,7
42101001001,39,174,84,0
42101001002,92,239,37,19
42101001101,54,309,141,4
42101001102,30,253,78,27
42101001201,60,291,75,44
42101001202,286,155,101,57
42101001300,157,164,213,0
42101001400,67,124,111,0
42101001500,168,238,155,15
42101001600,11,71,23,11
42101001700,80,80,19,8
42101001800,101,154,180,0
42101001900,213,51,36,32
42101002000,50,43,28,7
42101002100,61,16,13,4
42101002200,133,16,134,21
42101002300,250,129,277,8
42101002400,502,325,690,117
42101002500,204,180,103,6
42101002701,656,32,582,139
42101002702,148,94,141,11
42101002801,1352,128,1276,64
42101002802,532,221,1236,19
42101002900,438,250,366,27
42101003001,232,63,1550,23
42101003002,50,34,152,18
42101003100,349,44,147,83
42101003200,152,38,81,87
42101003300,115,0,173,0
42101003600,76,15,1197,0
42101003701,91,64,402,214
42101003702,207,176,753,240
42101003800,39,132,74,75
42101003901,74,278,940,452
42101003902,79,462,43,12
42101004001,215,317,363,16
42101004002,165,411,120,0
42101004101,914,544,1480,0
42101004102,1381,805,1775,47
42101004201,122,518,605,0
42101004202,307,126,903,14
42101005000,0,0,0,0
42101005400,31,23,80,31
42101005500,350,59,118,629
42101005600,15,19,3,16
42101006000,126,513,435,414
42101006100,0,122,389,321
42101006200,47,203,98,248
42101006300,282,131,408,96
42101006400,33,33,399,375
42101006500,15,60,20,86
42101006600,0,45,358,277
42101006700,179,502,365,485
42101006900,102,25,0,21
42101007000,43,152,10,26
42101007101,51,0,17,113
42101007102,231,11,0,170
42101007200,89,29,88,152
42101007300,91,0,0,21
42101007400,156,71,51,22
42101007700,59,200,269,76
42101007800,142,194,126,96
42101007900,130,108,98,42
42101008000,51,56,37,71
42101008101,0,116,13,26
42101008102,181,0,0,82
42101008200,16,124,68,67
42101008301,73,205,66,7
42101008302,119,132,136,64
42101008400,68,30,0,0
42101008500,131,279,46,307
42101008601,108,252,210,93
42101008602,34,46,34,12
42101008701,186,565,482,51
42101008702,46,246,570,94
42101008801,105,130,202,46
42101008802,185,503,826,40
42101009000,175,470,764,98
42101009100,25,165,430,13
42101009200,68,213,195,27
42101009300,16,22,0,126
42101009400,106,0,0,20
42101009500,97,16,0,0
42101009600,139,50,14,24
42101009801,98,71,78,97
42101009802,281,27,27,152
