,ZIPCODE,usage
0,19102,0.2965
1,19103,0.0655
2,19104,0.104
3,19106,0.0235
4,19107,0.0235
5,19111,0.0655
6,19112,0.0235
7,19114,0.0655
8,19115,0.0235
9,19116,0.0235
10,19118,0.0655
11,19119,0.0655
12,19120,0.104
13,19121,0.104
14,19122,0.149
15,19123,0.104
16,19124,0.104
17,19125,0.104
18,19126,0.104
19,19127,0.104
20,19128,0.104
21,19129,0.104
22,19130,0.104
23,19131,0.104
24,19132,0.104
25,19133,0.149
26,19134,0.149
27,19135,0.104
28,19136,0.104
29,19137,0.104
30,19138,0.104
31,19139,0.104
32,19140,0.149
33,19141,0.104
34,19142,0.0655
35,19143,0.104
36,19144,0.104
37,19145,0.104
38,19146,0.104
39,19147,0.0655
40,19148,0.0655
41,19149,0.104
42,19150,0.0655
43,19151,0.0655
44,19152,0.0655
45,19153,0.0655
46,19154,0.0655
